year month day hour precipitation[mm] temperature[degC]
0 0 22 13 0 15.1066666666667
0 0 22 14 0 15.74
0 0 22 15 0 15.87
0 0 22 16 0 13.96
0 0 22 17 0 12.8066666666667
0 0 22 18 0.245 11.38
0 0 22 19 0 10.86
0 0 22 20 0 10.99
0 0 22 21 0 11.12
0 0 22 22 0 11.25
0 0 22 23 0 10.6
0 0 23 0 0 10.86
0 0 23 1 0 10.86
0 0 23 2 0 10.34
0 0 23 3 0 10.21
0 0 23 4 0 10.08
0 0 23 5 0 10.21
0 0 23 6 0 10.08
0 0 23 7 0 9.55333333333333
0 0 23 8 0 9.55333333333333
0 0 23 9 0 10.4666666666667
0 0 23 10 0 12.8033333333333
0 0 23 11 0 14.0866666666667
0 0 23 12 0 16.25
0 0 23 13 0 18.0266666666667
0 0 23 14 0 17.9
0 0 23 15 0 16.25
0 0 23 16 0 15.87
0 0 23 17 0 14.2133333333333
0 0 23 18 0 13.19
0 0 23 19 0 12.6766666666667
0 0 23 20 0 12.8033333333333
0 0 23 21 0 12.16
0 0 23 22 0 12.03
0 0 23 23 0 11.77
0 0 24 0 0 11.38
0 0 24 1 0 10.86
0 0 24 2 0 10.47
0 0 24 3 0 10.34
0 0 24 4 0 11.25
0 0 24 5 0 11.51
0 0 24 6 0 11.38
0 0 24 7 0 11.38
0 0 24 8 0 11.51
0 0 24 9 0 11.9
0 0 24 10 0 12.5466666666667
0 0 24 11 0 13.19
0 0 24 12 0 13.83
0 0 24 13 0 13.83
0 0 24 14 0 13.7033333333333
0 0 24 15 0 13.7
0 0 24 16 0 13.3166666666667
0 0 24 17 0 12.42
0 0 24 18 0 11.38
0 0 24 19 0 10.99
0 0 24 20 0 10.21
0 0 24 21 0 9.82
0 0 24 22 0 9.82
0 0 24 23 0 9.82
0 0 25 0 0 9.42
0 0 25 1 0 8.89333333333333
0 0 25 2 0 8.49666666666667
0 0 25 3 0.245 7.83
0 0 25 4 0 7.96333333333333
0 0 25 5 0 8.09666666666667
0 0 25 6 0 7.83
0 0 25 7 1.96 7.29333333333333
0 0 25 8 5.145 5.81
0 0 25 9 4.165 4.84666666666667
0 0 25 10 7.105 5.12666666666667
0 0 25 11 0 5.67333333333333
0 0 25 12 3.92 6.22
0 0 25 13 0 6.22
0 0 25 14 7.595 6.22
0 0 25 15 0 6.22
0 0 25 16 4.9 6.48666666666667
0 0 25 17 1.47 7.96333333333333
0 0 25 18 0 8.23
0 0 25 19 0 9.02666666666667
0 0 25 20 0 9.42
0 0 25 21 0 9.42
0 0 25 22 0 9.55333333333333
0 0 25 23 0 9.68666666666667
0 0 26 0 0 9.68666666666667
0 0 26 1 0 8.63
0 0 26 2 0 6.89333333333333
0 0 26 3 0 6.48666666666667
0 0 26 4 0 6.08333333333333
0 0 26 5 0 6.08333333333333
0 0 26 6 0 6.89
0 0 26 7 0 7.56333333333333
0 0 26 8 0 7.43
0 0 26 9 0 7.43
0 0 26 10 0 7.56333333333333
0 0 26 11 0 7.96333333333333
0 0 26 12 0 8.36333333333333
0 0 26 13 0 7.43
0 0 26 14 0.245 6.62
0 0 26 15 0 6.08333333333333
0 0 26 16 1.715 5.67333333333333
0 0 26 17 0 6.35
0 0 26 18 0.245 6.75666666666667
0 0 26 19 0 6.62
0 0 26 20 0 7.03
0 0 26 21 0 7.29666666666667
0 0 26 22 0 7.16333333333333
0 0 26 23 0 7.43
0 0 27 0 0 7.03
0 0 27 1 0 6.89333333333333
0 0 27 2 0 7.03
0 0 27 3 0 6.89333333333333
0 0 27 4 0 6.89333333333333
0 0 27 5 0 6.62333333333333
0 0 27 6 0 4.29
0 0 27 7 0 3.03
0 0 27 8 0 2.31666666666667
0 0 27 9 0 3.99
0 0 27 10 0 9.94666666666667
0 0 27 11 0 13.4433333333333
0 0 27 12 0 16.1233333333333
0 0 27 13 0 17.7733333333333
0 0 27 14 0 16.8866666666667
0 0 27 15 0 14.3433333333333
0 0 27 16 0 13.4466666666667
0 0 27 17 0 12.8033333333333
0 0 27 18 0 10.3366666666667
0 0 27 19 0 8.23
0 0 27 20 0 6.75666666666667
0 0 27 21 0 5.26
0 0 27 22 0 5.26333333333333
0 0 27 23 0 5.4
0 0 28 0 0 4.01333333333333
0 0 28 1 0 3.87
0 0 28 2 0 5.12333333333333
0 0 28 3 0 6.21666666666667
0 0 28 4 0 4.98666666666667
0 0 28 5 0 3.72666666666667
0 0 28 6 0 1.74333333333333
0 0 28 7 0 1.31333333333333
0 0 28 8 0 1.31
0 0 28 9 0 3.84
0 0 28 10 0 12.0266666666667
0 0 28 11 0 13.7
0 0 28 12 0 16.6333333333333
0 0 28 13 0 17.2666666666667
0 0 28 14 0 17.2666666666667
0 0 28 15 0 17.9
0 0 28 16 0 17.7733333333333
0 0 28 17 0 16.8866666666667
0 0 28 18 0 12.9333333333333
0 0 28 19 0 11.38
0 0 28 20 0 10.34
0 0 28 21 0 10.08
0 0 28 22 0 9.95
0 0 28 23 0 9.55333333333333
0 0 29 0 0 10.08
0 0 29 1 0 9.81666666666667
0 0 29 2 0 9.16
0 0 29 3 0 8.63
0 0 29 4 0 8.49666666666667
0 0 29 5 0 8.76333333333333
0 0 29 6 0 8.89666666666667
0 0 29 7 0 8.76333333333333
0 0 29 8 0 8.36333333333334
0 0 29 9 0 9.54666666666667
0 0 29 10 0 12.8033333333333
0 0 29 11 0 14.7233333333333
0 0 29 12 0 15.9966666666667
0 0 29 13 0 17.2666666666667
0 0 29 14 0 19.4233333333333
0 0 29 15 0 18.7866666666667
0 0 29 16 0 16.8866666666667
0 0 29 17 0 15.6166666666667
0 0 29 18 0 13.19
0 0 29 19 0 11.25
0 0 29 20 0 10.47
0 0 29 21 0 10.47
0 0 29 22 0 9.82
0 0 29 23 0 9.02666666666667
0 0 30 0 0 8.63
0 0 30 1 0 7.96333333333333
0 0 30 2 0 7.83
0 0 30 3 0 8.23
0 0 30 4 0 7.83
0 0 30 5 0 7.69666666666667
0 0 30 6 0 8.23
0 0 30 7 0 7.83
0 0 30 8 0 7.43
0 0 30 9 0 7.41
0 0 30 10 0 14.0833333333333
0 0 30 11 0 16.2533333333333
0 0 30 12 0 17.7733333333333
0 0 30 13 0 19.04
0 0 30 14 0 18.5333333333333
0 0 30 15 0 18.28
0 0 30 16 0 15.6133333333333
0 0 30 17 0 14.5966666666667
0 0 30 18 0 12.1566666666667
0 0 30 19 0 9.94666666666667
0 0 30 20 0 9.29
0 0 30 21 0 8.89666666666667
0 0 30 22 0 8.23
0 0 30 23 0 7.96333333333333
0 1 31 0 0 8.09666666666667
0 1 31 1 0 7.69666666666667
0 1 31 2 0 7.29666666666667
0 1 31 3 0 5.67333333333334
0 1 31 4 0 3.45666666666667
0 1 31 5 0 2.74666666666667
0 1 31 6 0 1.74333333333333
0 1 31 7 0 1.31333333333333
0 1 31 8 0 0.876666666666667
0 1 31 9 0 3.68333333333333
0 1 31 10 0 10.8566666666667
0 1 31 11 0 15.6166666666667
0 1 31 12 0 18.5333333333333
0 1 31 13 0 19.2966666666667
0 1 31 14 0 19.93
0 1 31 15 0 18.6633333333333
0 1 31 16 0 16.6333333333333
0 1 31 17 0 15.1066666666667
0 1 31 18 0 12.8033333333333
0 1 31 19 0 10.86
0 1 31 20 0 9.02666666666667
0 1 31 21 0 7.96333333333333
0 1 31 22 0 6.89333333333333
0 1 31 23 0 5.4
0 1 32 0 0 4.57
0 1 32 1 0 4.29
0 1 32 2 0 5.26333333333333
0 1 32 3 0 5.81
0 1 32 4 0 6.75666666666667
0 1 32 5 0 7.03
0 1 32 6 0 6.89333333333333
0 1 32 7 0 7.16
0 1 32 8 0 5.4
0 1 32 9 0 8.48666666666667
0 1 32 10 0 9.16
0 1 32 11 0 10.86
0 1 32 12 0 12.6733333333333
0 1 32 13 0 15.7433333333333
